epoch,train_loss,val_loss
0,46.21556456946573,10.580486814281608
1,10.071657856597126,10.046645934672295
2,9.62968273852115,9.629644135583804
3,9.472958495561716,9.596676698515687
4,9.387840974270322,9.484471666360204
5,9.326042952071738,9.41702901622917
6,9.282375552976017,9.429473065726365
7,9.251881973141671,9.399004603035843
8,9.226836913995726,9.346823267393475
9,9.206132011585893,9.371092250679112
10,9.191316453835709,9.29812037793896
11,9.176671648483234,9.295732592329195
12,9.166927091554355,9.284670952905582
13,9.156774046998587,9.275401195091538
14,9.145656368141454,9.265578347218188
15,9.138085683815094,9.259154177315628
16,9.129363548143107,9.248819802682611
17,9.12387738101298,9.232754576960696
18,9.116038525192028,9.238013166113745
19,9.111546682544107,9.246357973316048
20,9.106534622941968,9.218821810468842
21,9.100866446718532,9.219264452970481
22,9.096579821213432,9.227261345295966
23,9.092385537068363,9.217502304270297
24,9.087899302036194,9.205618749690961
25,9.083915975657915,9.212080059775824
26,9.079717499599964,9.200308826301672
27,9.076932595315995,9.192171550702446
28,9.073643067002902,9.221252081665812
29,9.070606843958057,9.368961807444126
30,9.067096110052608,9.197850290129457
31,9.065155978124738,9.196279064613053
32,9.063256150379752,9.218549404868597
33,9.060875027277993,9.193870107433463
34,9.058600528841971,9.186864611468737
35,9.055242451215989,9.175764844387393
36,9.053830539083023,9.319582395915743
37,9.052256019824915,9.172334564788432
38,9.049838452740351,9.17323904641067
39,9.04738974530841,9.182292460188082
40,9.045571793007488,9.210135971745359
41,9.045828135924983,9.171320205398752
42,9.042769926136863,9.17021082866041
43,9.041920010347544,9.172091759307476
44,9.038912739476398,9.179868818838385
45,9.037893007731855,9.201801756363881
46,9.036437585487128,9.171933992603158
47,9.035314895149545,9.170494651794433
48,9.034054346639245,9.178593261332452
49,9.0326018287663,9.182976529568057
50,9.031388994127528,9.162949378580986
51,9.029613409790866,9.171967940994456
52,9.029270275240897,9.170145442817784
53,9.026534347329552,9.169932896577858
54,9.026091324683975,9.158446884155273
55,9.024568227641936,9.162952910797506
56,9.0239269495145,9.153877502151682
57,9.022243843046304,9.299220708050305
58,9.022123618694028,9.164475368548043
59,9.019531117530276,9.1737643543678
60,9.01887490532615,9.151807686045201
61,9.018965877293867,9.161262760886663
62,9.016303438039097,9.159406999998454
63,9.016413155819048,9.169201355946216
64,9.015483207584168,9.167468305177326
65,9.01537598680467,9.16509780883789
66,9.013379048789577,9.157875309714788
67,9.013630864850414,9.14336083086231
68,9.012213206170037,9.15572920690609
69,9.010469979717529,9.16477701935587
70,9.009735583720538,9.212344307235524
71,9.009063808747028,9.166971146305904
72,9.009555532055881,9.17147746267198
73,9.007170637336442,9.148459753205504
74,9.008051175979622,9.154715914665898
75,9.006081991448772,9.147438044487675
76,9.005906376173643,9.15332658984993
77,9.00514226710978,9.152991782562642
